!Header: AG01, dimensions: REG*GDPEXPEND [6*5], description: GDPEXP = C + I + G + X - M, GDP from the expenditure side
REG,GDPEXPEND,Value
gro,Africa,Europe,impcost,56.636814117
osd,Africa,Europe,impcost,111.95815277
others,Africa,Europe,impcost,7272.8701172
Intermediate,Africa,Europe,impcost,80880.148438
pdr,Asia,Europe,impcost,206.45547485
wht,Asia,Europe,impcost,276.67904663
gro,Asia,Europe,impcost,122.75089264
osd,Asia,Europe,impcost,518.19848633
others,Asia,Europe,impcost,6884.081543
Intermediate,Asia,Europe,impcost,480533.21875
pdr,Europe,Europe,impcost,134.65325928
wht,Europe,Europe,impcost,3172.262207
gro,Europe,Europe,impcost,2495.9658203
osd,Europe,Europe,impcost,1289.2341309
