!Header: AG01, dimensions: REG*GDPEXPEND [7*5], description: GDPEXP = C + I + G + X - M, GDP from the expenditure side
REG,GDPEXPEND,Value
wht,N_America,Africa,xtax,-13.792868614
gro,N_America,Africa,xtax,-0.61552268267
others,N_America,Africa,xtax,4.6044821739
osd,N_America,Africa,xtax,4.88634221255779E-0004
Intermediate,N_America,Africa,xtax,241.02302551
pdr,Oceania,Africa,xtax,-8.82934872061014E-0003
others,Oceania,Africa,xtax,-0.81066554785
Intermediate,Oceania,Africa,xtax,-7.0778880119
wht,S_America,Africa,xtax,14.616498947
gro,S_America,Africa,xtax,0.96160680056
others,S_America,Africa,xtax,32.939338684
osd,S_America,Africa,xtax,-0.75327372551
Intermediate,S_America,Africa,xtax,145.00506592
pdr,ROW,Africa,xtax,0.012534737587
wht,ROW,Africa,xtax,2.48551368713379E-0004
gro,ROW,Africa,xtax,-6.34291209280491E-0005
others,ROW,Africa,xtax,0.017823308706
osd,ROW,Africa,xtax,4.16561961174011E-0005
Intermediate,ROW,Africa,xtax,7.3924899101
pdr,Africa,Asia,xtax,0.28235793114
wht,Africa,Asia,xtax,-0.45647794008
gro,Africa,Asia,xtax,12.025793076
others,Africa,Asia,xtax,150.06796265
osd,Africa,Asia,xtax,3.8517062664
Intermediate,Africa,Asia,xtax,668.32116699
pdr,Asia,Asia,xtax,-8.3877286911
wht,Asia,Asia,xtax,1.1474394798
gro,Asia,Asia,xtax,-67.875328064
others,Asia,Asia,xtax,-95.46786499
