!Header: AG01, dimensions: REG*GDPEXPEND [7*5], description: GDPEXP = C + I + G + X - M, GDP from the expenditure side
REG,GDPEXPEND,Value
gro,S_America,Oceania,exprev,0.078348018229
osd,S_America,Oceania,exprev,1.7000014782
others,S_America,Oceania,exprev,75.147514343
Intermediate,S_America,Oceania,exprev,1023.0021362
pdr,ROW,Oceania,exprev,0.03623193875
wht,ROW,Oceania,exprev,0.025055406615
gro,ROW,Oceania,exprev,0.027695098892
osd,ROW,Oceania,exprev,0.024285325781
others,ROW,Oceania,exprev,52.554046631
Intermediate,ROW,Oceania,exprev,862.065979
pdr,Africa,S_America,exprev,0.1048201248
wht,Africa,S_America,exprev,2.2137105465
gro,Africa,S_America,exprev,40.124565125
osd,Africa,S_America,exprev,0.83339166641
others,Africa,S_America,exprev,220.76370239
Intermediate,Africa,S_America,exprev,3401.4797363
pdr,Asia,S_America,exprev,10.637170792
wht,Asia,S_America,exprev,1.4819881916
gro,Asia,S_America,exprev,1.7189235687
osd,Asia,S_America,exprev,3.2672760487
others,Asia,S_America,exprev,375.8274231
Intermediate,Asia,S_America,exprev,47496.6875
pdr,Europe,S_America,exprev,0.46855151653
wht,Europe,S_America,exprev,115.50524902
gro,Europe,S_America,exprev,37.425178528
osd,Europe,S_America,exprev,6.494325161
others,Europe,S_America,exprev,264.14831543
Intermediate,Europe,S_America,exprev,67058.710938
pdr,N_America,S_America,exprev,99.069129944
wht,N_America,S_America,exprev,960.42181396
gro,N_America,S_America,exprev,696.19592285
osd,N_America,S_America,exprev,558.77099609
others,N_America,S_America,exprev,940.90338135
Intermediate,N_America,S_America,exprev,74045.265625
wht,Oceania,S_America,exprev,41.11227417
gro,Oceania,S_America,exprev,0.88398909569
osd,Oceania,S_America,exprev,0.083434425294
others,Oceania,S_America,exprev,20.418931961
Intermediate,Oceania,S_America,exprev,1761.9195557
pdr,S_America,S_America,exprev,141.79322815
wht,S_America,S_America,exprev,888.01885986
gro,S_America,S_America,exprev,469.73498535
osd,S_America,S_America,exprev,396.46392822
others,S_America,S_America,exprev,1625.8985596
Intermediate,S_America,S_America,exprev,45921.851563
pdr,ROW,S_America,exprev,0.12602557242
wht,ROW,S_America,exprev,0.52386504412
gro,ROW,S_America,exprev,0.19289343059
osd,ROW,S_America,exprev,0.08184556663
others,ROW,S_America,exprev,1.2402741909
Intermediate,ROW,S_America,exprev,738.19152832
pdr,Africa,ROW,exprev,0.018196268007
wht,Africa,ROW,exprev,0.1864065975
gro,Africa,ROW,exprev,0.20206870139
osd,Africa,ROW,exprev,0.23497216403
others,Africa,ROW,exprev,47.947650909
Intermediate,Africa,ROW,exprev,367.60391235
pdr,Asia,ROW,exprev,1.3075170517
wht,Asia,ROW,exprev,0.59119349718
gro,Asia,ROW,exprev,92.389526367
osd,Asia,ROW,exprev,9.3455867767
others,Asia,ROW,exprev,82.607032776
Intermediate,Asia,ROW,exprev,12358.017578
pdr,Europe,ROW,exprev,0.13417574763
wht,Europe,ROW,exprev,65.849433899
gro,Europe,ROW,exprev,23.509555817
osd,Europe,ROW,exprev,4.2548389435
others,Europe,ROW,exprev,150.68222046
Intermediate,Europe,ROW,exprev,16410.496094
pdr,N_America,ROW,exprev,0.045108702034
wht,N_America,ROW,exprev,20.707593918
gro,N_America,ROW,exprev,3.684751749
osd,N_America,ROW,exprev,0.91523128748
others,N_America,ROW,exprev,48.890266418
Intermediate,N_America,ROW,exprev,4390.2084961
pdr,Oceania,ROW,exprev,0.023000000045
wht,Oceania,ROW,exprev,0.012021188624
gro,Oceania,ROW,exprev,6.2145709991
osd,Oceania,ROW,exprev,0.040064282715
others,Oceania,ROW,exprev,28.863571167
Intermediate,Oceania,ROW,exprev,1431.8902588
pdr,S_America,ROW,exprev,0.034046132118
wht,S_America,ROW,exprev,27.265300751
gro,S_America,ROW,exprev,0.11045140028
osd,S_America,ROW,exprev,55.299503326
others,S_America,ROW,exprev,31.841661453
Intermediate,S_America,ROW,exprev,744.01019287
pdr,ROW,ROW,exprev,0.19072513282
wht,ROW,ROW,exprev,3.5555598736
gro,ROW,ROW,exprev,11.986905098
osd,ROW,ROW,exprev,0.67995744944
others,ROW,ROW,exprev,35.650196075
Intermediate,ROW,ROW,exprev,1061.6755371
pdr,Africa,Africa,xtax,7.72476196289063E-0005
wht,Africa,Africa,xtax,0.010362625122
gro,Africa,Africa,xtax,-5.75256347656250E-0003
osd,Africa,Africa,xtax,4.48226928710938E-0003
others,Africa,Africa,xtax,0.14190673828
Intermediate,Africa,Africa,xtax,26.17578125
pdr,Asia,Africa,xtax,0.51309299469
wht,Asia,Africa,xtax,0.010101318359
gro,Asia,Africa,xtax,2.45666503906250E-0003
osd,Asia,Africa,xtax,0.32746887207
others,Asia,Africa,xtax,2.5153198242
Intermediate,Asia,Africa,xtax,25.421875
pdr,Europe,Africa,xtax,-0.06537604332
wht,Europe,Africa,xtax,-62.273193359
gro,Europe,Africa,xtax,-64.560806274
osd,Europe,Africa,xtax,0.078772544861
others,Europe,Africa,xtax,-3.193359375
Intermediate,Europe,Africa,xtax,-582.71875
gro,N_America,Africa,xtax,-0.1086730957
Intermediate,N_America,Africa,xtax,-4.533203125
Intermediate,Oceania,Africa,xtax,11.442260742
wht,S_America,Africa,xtax,-7.47680664062500E-0004
gro,S_America,Africa,xtax,-8.85009765625000E-0004
osd,S_America,Africa,xtax,2.59399414062500E-0004
others,S_America,Africa,xtax,0.51035308838
Intermediate,S_America,Africa,xtax,50.994873047
pdr,ROW,Africa,xtax,3.46451997756958E-0007
wht,ROW,Africa,xtax,-1.02877616882324E-0003
gro,ROW,Africa,xtax,-1.28567218780518E-0004
osd,ROW,Africa,xtax,1.93007290363312E-0004
others,ROW,Africa,xtax,7.26699829101563E-0004
Intermediate,ROW,Africa,xtax,0.23815917969
pdr,Africa,Asia,xtax,9.06467437744141E-0004
wht,Africa,Asia,xtax,0.37258720398
gro,Africa,Asia,xtax,0.239818573
osd,Africa,Asia,xtax,-0.055038452148
